Price,Open,Close
Ticker,^FTSE,^FTSE
Date,,
2001-01-02,6222.5,6174.7001953125
2001-01-03,6174.7001953125,6039.89990234375
2001-01-04,6039.89990234375,6185.60009765625
2001-01-05,6185.60009765625,6198.10009765625
2001-01-08,6198.10009765625,6149.60009765625
2001-01-09,6149.60009765625,6088.10009765625
2001-01-10,6088.10009765625,6059.89990234375
2001-01-11,6059.89990234375,6114.89990234375
2001-01-12,6114.89990234375,6165.5
2001-01-15,6165.5,6170.2998046875
2001-01-16,6170.2998046875,6083.2998046875
2001-01-17,6083.2998046875,6197.39990234375
2001-01-18,6197.39990234375,6209.89990234375
2001-01-19,6209.89990234375,6209.2998046875
2001-01-22,6209.2998046875,6232.0
2001-01-23,6232.0,6214.7001953125
2001-01-24,6214.7001953125,6264.39990234375
2001-01-25,6264.39990234375,6255.60009765625
2001-01-26,6255.60009765625,6294.2998046875
2001-01-29,6294.2998046875,6317.0
2001-01-30,6317.0,6334.5
2001-01-31,6334.5,6297.5
2001-02-01,6297.5,6251.7998046875
2001-02-02,6251.7998046875,6256.39990234375
2001-02-05,6256.39990234375,6269.2001953125
2001-02-06,6269.2001953125,6293.39990234375
2001-02-07,6293.39990234375,6225.7001953125
2001-02-08,6225.60009765625,6206.10009765625
2001-02-09,6206.10009765625,6164.2998046875
2001-02-12,6164.2998046875,6241.39990234375
2001-02-13,6241.39990234375,6228.5
2001-02-14,6228.5,6176.2001953125
2001-02-15,6176.2001953125,6197.89990234375
2001-02-16,6197.89990234375,6088.2998046875
2001-02-19,6088.2998046875,6094.0
2001-02-20,6094.0,5980.10009765625
2001-02-21,5980.10009765625,5972.39990234375
2001-02-22,5972.39990234375,6003.10009765625
2001-02-23,6003.10009765625,5943.7001953125
2001-02-26,5943.7001953125,5916.7998046875
2001-02-27,5916.7001953125,5941.2001953125
2001-02-28,5941.2001953125,5917.89990234375
2001-03-01,5917.89990234375,5908.60009765625
2001-03-02,5908.60009765625,5858.60009765625
2001-03-05,5858.60009765625,5931.2998046875
2001-03-06,5931.2998046875,6012.0
2001-03-07,6012.0,6001.7998046875
2001-03-08,6001.7998046875,6003.2001953125
2001-03-09,6003.2001953125,5917.2998046875
2001-03-12,5917.2998046875,5826.5
2001-03-13,5826.5,5720.7001953125
2001-03-14,5720.7001953125,5626.0
2001-03-15,5625.89990234375,5729.2001953125
2001-03-16,5729.2001953125,5562.7998046875
2001-03-19,5562.7998046875,5551.60009765625
2001-03-20,5551.60009765625,5646.7998046875
2001-03-21,5646.7998046875,5540.7001953125
2001-03-22,5540.7001953125,5314.7998046875
2001-03-23,5314.7998046875,5402.2998046875
2001-03-26,5402.2998046875,5576.60009765625
2001-03-27,5576.60009765625,5728.10009765625
2001-03-28,5728.10009765625,5614.0
2001-03-29,5614.0,5588.39990234375
2001-03-30,5588.39990234375,5633.7001953125
2001-04-02,5633.7001953125,5618.5
2001-04-03,5618.5,5463.10009765625
2001-04-04,5463.10009765625,5535.7001953125
2001-04-05,5535.7001953125,5621.7998046875
2001-04-06,5621.7998046875,5601.5
2001-04-09,5601.5,5663.2998046875
2001-04-10,5663.2998046875,5803.0
2001-04-11,5803.0,5788.10009765625
