Price,Open,Close
Ticker,^VIX,^VIX
Date,,
2025-04-15,30.010000228881836,30.1200008392334
2025-04-16,33.2400016784668,32.63999938964844
2025-04-17,30.790000915527344,29.649999618530273
2025-04-21,32.75,33.81999969482422
2025-04-22,32.61000061035156,30.56999969482422
2025-04-23,28.75,28.450000762939453
2025-04-24,28.690000534057617,26.469999313354492
2025-04-25,26.219999313354492,24.84000015258789
2025-04-28,25.75,25.149999618530273
2025-04-29,24.760000228881836,24.170000076293945
2025-04-30,24.350000381469727,24.700000762939453
2025-05-01,23.940000534057617,24.600000381469727
2025-05-02,23.6299991607666,22.68000030517578
2025-05-05,24.25,23.639999389648438
2025-05-06,23.969999313354492,24.760000228881836
2025-05-07,24.559999465942383,23.549999237060547
2025-05-08,22.84000015258789,22.479999542236328
2025-05-09,22.399999618530273,21.899999618530273
2025-05-12,19.84000015258789,18.389999389648438
2025-05-13,18.690000534057617,18.219999313354492
2025-05-14,18.100000381469727,18.6200008392334
2025-05-15,19.190000534057617,17.829999923706055
